EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
18,54,0.0,Travel_Rarely,821,Research & Development,5,Perguruan tinggi,Medical,1,Rendah,Male,86,Tinggi,5,Research Director,Rendah,Married,19406,8509,4,Y,No,11,Sangat Baik,Tinggi,80,1,24,4,Sedang,4,2,1,2
20,49,0.0,Travel_Rarely,1098,Research & Development,4,Perguruan tinggi,Medical,1,Rendah,Male,85,Sedang,5,Manager,Tinggi,Married,18711,12124,2,Y,No,13,Sangat Baik,Tinggi,80,1,23,2,Sangat Tinggi,1,0,0,0
21,24,0.0,Travel_Rarely,691,Research & Development,23,Sarjana,Medical,1,Sedang,Male,89,Sangat Tinggi,1,Research Scientist,Sangat Tinggi,Married,2725,21630,1,Y,Yes,11,Sangat Baik,Sedang,80,2,6,3,Tinggi,6,5,1,4
22,40,0.0,Travel_Rarely,302,Research & Development,6,Sarjana,Life Sciences,1,Sedang,Female,75,Tinggi,4,Manufacturing Director,Tinggi,Single,13237,20364,7,Y,No,15,Sangat Baik,Tinggi,80,0,22,3,Tinggi,20,6,5,13
23,41,0.0,Non-Travel,267,Sales,10,Perguruan tinggi,Life Sciences,1,Sangat Tinggi,Male,56,Tinggi,2,Sales Executive,Sangat Tinggi,Single,6230,13430,7,Y,No,14,Sangat Baik,Sangat Tinggi,80,0,16,3,Tinggi,14,3,1,10
24,32,0.0,Travel_Rarely,588,Sales,8,Perguruan tinggi,Technical Degree,1,Tinggi,Female,65,Sedang,2,Sales Executive,Sedang,Married,5228,24624,1,Y,Yes,11,Sangat Baik,Sangat Tinggi,80,0,13,2,Tinggi,13,12,11,9
25,24,1.0,Travel_Rarely,813,Research & Development,1,Sarjana,Medical,1,Sedang,Male,61,Tinggi,1,Research Scientist,Sangat Tinggi,Married,2293,3020,2,Y,Yes,16,Sangat Baik,Rendah,80,1,6,2,Sedang,2,0,2,0
28,39,0.0,Travel_Rarely,412,Research & Development,13,Magister,Medical,1,Tinggi,Female,94,Sedang,4,Manager,Sedang,Divorced,17123,17334,6,Y,Yes,13,Sangat Baik,Sangat Tinggi,80,2,21,4,Tinggi,19,9,15,2
29,59,0.0,Travel_Rarely,818,Human Resources,6,Perguruan tinggi,Medical,1,Sedang,Male,52,Tinggi,1,Human Resources,Tinggi,Married,2267,25657,8,Y,No,17,Sangat Baik,Sangat Tinggi,80,0,7,2,Sedang,2,2,2,2
31,36,0.0,Travel_Rarely,1425,Research & Development,14,Di bawah perguruan tinggi,Life Sciences,1,Tinggi,Male,68,Tinggi,2,Healthcare Representative,Sangat Tinggi,Married,6586,4821,0,Y,Yes,17,Sangat Baik,Rendah,80,1,17,2,Sedang,16,8,4,11
32,30,0.0,Travel_Rarely,853,Research & Development,7,Magister,Life Sciences,1,Tinggi,Male,49,Tinggi,2,Laboratory Technician,Tinggi,Divorced,3491,11309,1,Y,No,13,Sangat Baik,Rendah,80,3,10,4,Sedang,10,7,8,9
33,38,0.0,Travel_Rarely,433,Human Resources,1,Sarjana,Human Resources,1,Tinggi,Male,37,Sangat Tinggi,1,Human Resources,Tinggi,Married,2844,6004,1,Y,No,13,Sangat Baik,Sangat Tinggi,80,1,7,2,Sangat Tinggi,7,6,5,0
34,28,1.0,Travel_Frequently,1496,Sales,1,Sarjana,Technical Degree,1,Rendah,Male,92,Tinggi,1,Sales Representative,Tinggi,Married,2909,15747,3,Y,No,15,Sangat Baik,Sangat Tinggi,80,1,5,3,Sangat Tinggi,3,2,1,2
35,31,0.0,Travel_Rarely,192,Research & Development,2,Magister,Life Sciences,1,Tinggi,Male,32,Tinggi,1,Research Scientist,Sangat Tinggi,Divorced,2695,7747,0,Y,Yes,18,Sangat Baik,Sedang,80,1,3,2,Rendah,2,2,2,2
36,36,0.0,Non-Travel,845,Sales,1,Doktor,Medical,1,Sangat Tinggi,Female,45,Tinggi,2,Sales Executive,Sangat Tinggi,Single,6653,15276,4,Y,No,15,Sangat Baik,Sedang,80,0,7,6,Tinggi,1,0,0,0
37,32,0.0,Travel_Rarely,427,Research & Development,1,Sarjana,Medical,1,Rendah,Male,33,Tinggi,2,Manufacturing Director,Sangat Tinggi,Married,6162,10877,1,Y,Yes,22,Luar Biasa,Sedang,80,1,9,3,Tinggi,9,8,7,8
39,28,0.0,Non-Travel,120,Sales,4,Sarjana,Medical,1,Sedang,Male,43,Tinggi,2,Sales Executive,Tinggi,Married,4221,8863,1,Y,No,15,Sangat Baik,Sedang,80,0,5,3,Sangat Tinggi,5,4,0,4
40,31,1.0,Travel_Rarely,249,Sales,6,Magister,Life Sciences,1,Sedang,Male,76,Rendah,2,Sales Executive,Tinggi,Married,6172,20739,4,Y,Yes,18,Sangat Baik,Sedang,80,0,12,3,Sedang,7,7,7,7
41,50,0.0,Travel_Rarely,316,Sales,8,Magister,Marketing,1,Sangat Tinggi,Male,54,Tinggi,1,Sales Representative,Sedang,Married,3875,9983,7,Y,No,15,Sangat Baik,Sangat Tinggi,80,1,4,2,Tinggi,2,2,2,2
42,39,0.0,Travel_Rarely,1132,Research & Development,1,Sarjana,Medical,1,Tinggi,Male,48,Sangat Tinggi,3,Healthcare Representative,Sangat Tinggi,Divorced,9613,10942,0,Y,No,17,Sangat Baik,Rendah,80,3,19,5,Sedang,18,10,3,7
43,35,0.0,Travel_Rarely,809,Research & Development,16,Sarjana,Medical,1,Rendah,Male,84,Sangat Tinggi,1,Laboratory Technician,Sedang,Married,2426,16479,0,Y,No,13,Sangat Baik,Tinggi,80,1,6,5,Tinggi,5,4,0,3
44,32,0.0,Travel_Frequently,379,Sales,5,Perguruan tinggi,Life Sciences,1,Sedang,Male,48,Tinggi,2,Sales Executive,Sedang,Married,6524,8891,1,Y,No,14,Sangat Baik,Sangat Tinggi,80,1,10,3,Tinggi,10,8,5,3
45,26,1.0,Travel_Rarely,1330,Research & Development,21,Sarjana,Medical,1,Rendah,Male,37,Tinggi,1,Laboratory Technician,Tinggi,Divorced,2377,19373,1,Y,No,20,Luar Biasa,Tinggi,80,1,1,0,Sedang,1,1,0,0
46,30,0.0,Travel_Rarely,288,Research & Development,2,Sarjana,Life Sciences,1,Tinggi,Male,99,Sedang,2,Healthcare Representative,Sangat Tinggi,Married,4152,15830,1,Y,No,19,Sangat Baik,Rendah,80,3,11,3,Tinggi,11,10,10,8
49,38,0.0,Travel_Frequently,216,Research & Development,23,Sarjana,Life Sciences,1,Sangat Tinggi,Male,44,Sedang,3,Manufacturing Director,Tinggi,Single,9526,8787,0,Y,No,21,Luar Biasa,Sedang,80,0,10,2,Tinggi,9,7,1,8
50,21,0.0,Travel_Rarely,1343,Sales,22,Di bawah perguruan tinggi,Technical Degree,1,Tinggi,Male,49,Tinggi,1,Sales Representative,Tinggi,Single,3447,24444,1,Y,No,11,Sangat Baik,Tinggi,80,0,3,2,Tinggi,3,2,1,2
51,35,0.0,Travel_Rarely,950,Research & Development,7,Sarjana,Other,1,Tinggi,Male,59,Tinggi,3,Manufacturing Director,Tinggi,Single,10221,18869,3,Y,No,21,Luar Biasa,Sedang,80,0,17,3,Sangat Tinggi,8,5,1,6
54,26,0.0,Travel_Frequently,1479,Research & Development,1,Sarjana,Life Sciences,1,Tinggi,Female,84,Tinggi,2,Manufacturing Director,Sedang,Divorced,6397,26767,1,Y,No,20,Luar Biasa,Rendah,80,1,6,6,Rendah,6,5,1,4
55,31,1.0,Travel_Frequently,523,Research & Development,2,Sarjana,Life Sciences,1,Sedang,Male,94,Tinggi,1,Laboratory Technician,Sangat Tinggi,Married,3722,21081,6,Y,Yes,13,Sangat Baik,Tinggi,80,1,7,2,Rendah,2,2,2,2
57,32,0.0,Travel_Rarely,1062,Research & Development,2,Sarjana,Medical,1,Tinggi,Female,75,Tinggi,1,Laboratory Technician,Sedang,Married,2370,3956,1,Y,No,13,Sangat Baik,Tinggi,80,1,8,4,Tinggi,8,0,0,7
58,32,0.0,Travel_Rarely,929,Sales,10,Sarjana,Marketing,1,Sangat Tinggi,Male,55,Tinggi,2,Sales Executive,Sangat Tinggi,Single,5396,21703,1,Y,No,12,Sangat Baik,Sangat Tinggi,80,0,10,2,Sedang,10,7,0,8
59,34,0.0,Travel_Rarely,1303,Research & Development,2,Magister,Life Sciences,1,Sangat Tinggi,Male,62,Sedang,1,Research Scientist,Tinggi,Divorced,2768,8416,3,Y,No,12,Sangat Baik,Tinggi,80,1,14,3,Tinggi,7,3,5,7
60,33,0.0,Travel_Frequently,553,Research & Development,5,Magister,Life Sciences,1,Sangat Tinggi,Female,74,Tinggi,3,Manager,Sedang,Married,11878,23364,6,Y,No,11,Sangat Baik,Sedang,80,2,12,2,Tinggi,10,6,8,8
61,47,0.0,Travel_Rarely,983,Research & Development,2,Perguruan tinggi,Medical,1,Rendah,Female,65,Tinggi,2,Manufacturing Director,Sangat Tinggi,Divorced,5070,7389,5,Y,No,13,Sangat Baik,Tinggi,80,3,20,2,Tinggi,5,0,0,4
63,30,0.0,Travel_Rarely,921,Research & Development,1,Sarjana,Life Sciences,1,Sangat Tinggi,Male,38,Rendah,1,Laboratory Technician,Tinggi,Married,3833,24375,3,Y,No,21,Luar Biasa,Tinggi,80,2,7,2,Tinggi,2,2,0,2
64,58,0.0,Travel_Rarely,1145,Research & Development,9,Sarjana,Medical,1,Sedang,Female,75,Sedang,1,Research Scientist,Sedang,Married,3346,11873,4,Y,Yes,20,Luar Biasa,Sedang,80,1,9,3,Sedang,1,0,0,0
65,37,1.0,Travel_Rarely,625,Sales,1,Magister,Life Sciences,1,Rendah,Male,46,Sedang,3,Sales Executive,Tinggi,Married,10609,14922,5,Y,No,11,Sangat Baik,Tinggi,80,0,17,2,Rendah,14,1,11,7
68,38,0.0,Travel_Rarely,1380,Research & Development,9,Perguruan tinggi,Life Sciences,1,Tinggi,Female,75,Tinggi,1,Laboratory Technician,Sangat Tinggi,Single,2288,6319,1,Y,No,12,Sangat Baik,Tinggi,80,0,2,3,Tinggi,2,2,2,1
69,43,1.0,Travel_Rarely,1372,Sales,9,Sarjana,Marketing,1,Rendah,Female,85,Rendah,2,Sales Executive,Tinggi,Single,5346,9489,8,Y,No,13,Sangat Baik,Sedang,80,0,7,2,Sedang,4,3,1,3
71,52,0.0,Travel_Frequently,322,Research & Development,28,Perguruan tinggi,Medical,1,Sangat Tinggi,Female,59,Sangat Tinggi,4,Manufacturing Director,Tinggi,Married,13247,9731,2,Y,Yes,11,Sangat Baik,Sedang,80,1,24,3,Sedang,5,3,0,2
73,44,0.0,Travel_Rarely,1488,Sales,1,Doktor,Marketing,1,Sedang,Female,75,Tinggi,2,Sales Executive,Rendah,Divorced,5454,4009,5,Y,Yes,21,Luar Biasa,Tinggi,80,1,9,2,Sedang,4,3,1,3
74,59,0.0,Travel_Rarely,142,Research & Development,3,Sarjana,Life Sciences,1,Tinggi,Male,70,Sedang,1,Research Scientist,Sangat Tinggi,Married,2177,8456,3,Y,No,17,Sangat Baik,Rendah,80,1,7,6,Tinggi,1,0,0,0
77,42,0.0,Non-Travel,926,Research & Development,21,Perguruan tinggi,Medical,1,Tinggi,Female,36,Tinggi,2,Manufacturing Director,Tinggi,Divorced,5265,16439,2,Y,No,16,Sangat Baik,Sedang,80,1,11,5,Tinggi,5,3,0,2
78,45,0.0,Travel_Rarely,561,Sales,2,Sarjana,Other,1,Sangat Tinggi,Male,61,Tinggi,2,Sales Executive,Sedang,Married,4805,16177,0,Y,No,19,Sangat Baik,Sedang,80,1,9,3,Sangat Tinggi,8,7,3,7
81,21,1.0,Travel_Rarely,1427,Research & Development,18,Di bawah perguruan tinggi,Other,1,Sangat Tinggi,Female,65,Tinggi,1,Research Scientist,Sangat Tinggi,Single,2693,8870,1,Y,No,19,Sangat Baik,Rendah,80,0,1,3,Sedang,1,0,0,0
82,23,0.0,Travel_Rarely,885,Research & Development,4,Sarjana,Medical,1,Rendah,Male,58,Sangat Tinggi,1,Research Scientist,Rendah,Married,2819,8544,2,Y,No,16,Sangat Baik,Rendah,80,1,5,3,Sangat Tinggi,3,2,0,2
84,54,0.0,Travel_Rarely,1147,Sales,3,Sarjana,Marketing,1,Sangat Tinggi,Female,52,Tinggi,2,Sales Executive,Rendah,Married,5940,17011,2,Y,No,14,Sangat Baik,Sangat Tinggi,80,1,16,4,Tinggi,6,2,0,5
85,41,0.0,Travel_Rarely,509,Research & Development,7,Perguruan tinggi,Technical Degree,1,Sedang,Female,43,Sangat Tinggi,1,Research Scientist,Tinggi,Married,3376,18863,1,Y,No,13,Sangat Baik,Tinggi,80,0,10,3,Tinggi,10,6,0,8
86,45,0.0,Travel_Rarely,1038,Research & Development,20,Sarjana,Medical,1,Sedang,Male,95,Rendah,3,Healthcare Representative,Rendah,Divorced,10851,19863,2,Y,Yes,18,Sangat Baik,Sedang,80,1,24,2,Tinggi,7,7,0,7
88,45,0.0,Non-Travel,1052,Sales,6,Sarjana,Medical,1,Sangat Tinggi,Female,57,Sedang,3,Sales Executive,Sangat Tinggi,Single,8865,16840,6,Y,No,12,Sangat Baik,Sangat Tinggi,80,0,23,2,Tinggi,19,7,12,8
93,55,0.0,Travel_Rarely,111,Sales,1,Perguruan tinggi,Life Sciences,1,Rendah,Male,70,Tinggi,3,Sales Executive,Sangat Tinggi,Married,10239,18092,3,Y,No,14,Sangat Baik,Sangat Tinggi,80,1,24,4,Tinggi,1,0,1,0
95,34,0.0,Travel_Frequently,1069,Research & Development,2,Di bawah perguruan tinggi,Life Sciences,1,Sangat Tinggi,Male,45,Sedang,2,Manufacturing Director,Tinggi,Married,9547,14074,1,Y,No,17,Sangat Baik,Tinggi,80,0,10,2,Sedang,10,9,1,9
97,57,0.0,Travel_Rarely,405,Research & Development,1,Perguruan tinggi,Life Sciences,1,Sedang,Male,93,Sangat Tinggi,2,Research Scientist,Tinggi,Married,4900,2721,0,Y,No,24,Luar Biasa,Rendah,80,1,13,2,Sedang,12,9,2,8
99,33,0.0,Travel_Rarely,147,Research & Development,4,Magister,Medical,1,Tinggi,Female,47,Sedang,1,Research Scientist,Sedang,Married,2622,13248,6,Y,No,21,Luar Biasa,Sangat Tinggi,80,0,7,3,Tinggi,3,2,1,1
100,32,0.0,Non-Travel,300,Research & Development,1,Sarjana,Life Sciences,1,Sangat Tinggi,Male,61,Tinggi,1,Laboratory Technician,Sangat Tinggi,Divorced,2314,9148,0,Y,No,12,Sangat Baik,Sedang,80,1,4,2,Tinggi,3,0,0,2
101,21,1.0,Travel_Frequently,251,Research & Development,10,Perguruan tinggi,Life Sciences,1,Rendah,Female,45,Sedang,1,Laboratory Technician,Tinggi,Single,2625,25308,1,Y,No,20,Luar Biasa,Tinggi,80,0,2,2,Rendah,2,2,2,2
102,34,1.0,Travel_Frequently,296,Sales,6,Perguruan tinggi,Marketing,1,Sangat Tinggi,Female,33,Rendah,1,Sales Representative,Tinggi,Divorced,2351,12253,0,Y,No,16,Sangat Baik,Sangat Tinggi,80,1,3,3,Sedang,2,2,1,0
104,27,0.0,Travel_Frequently,1242,Sales,20,Sarjana,Life Sciences,1,Sangat Tinggi,Female,90,Tinggi,2,Sales Executive,Tinggi,Single,9981,12916,1,Y,No,14,Sangat Baik,Sangat Tinggi,80,0,7,2,Tinggi,7,7,0,7
106,36,0.0,Travel_Rarely,917,Research & Development,6,Magister,Life Sciences,1,Tinggi,Male,60,Rendah,1,Laboratory Technician,Tinggi,Divorced,2741,6865,1,Y,No,14,Sangat Baik,Tinggi,80,1,7,4,Tinggi,7,7,1,7
107,41,1.0,Travel_Rarely,1360,Research & Development,12,Sarjana,Technical Degree,1,Sedang,Female,49,Tinggi,5,Research Director,Tinggi,Married,19545,16280,1,Y,No,12,Sangat Baik,Sangat Tinggi,80,0,23,0,Tinggi,22,15,15,8
109,33,0.0,Travel_Frequently,1296,Research & Development,6,Sarjana,Life Sciences,1,Tinggi,Male,30,Tinggi,2,Healthcare Representative,Sangat Tinggi,Divorced,7725,5335,3,Y,No,23,Luar Biasa,Tinggi,80,1,15,2,Rendah,13,11,4,7
110,18,1.0,Non-Travel,247,Research & Development,8,Di bawah perguruan tinggi,Medical,1,Tinggi,Male,80,Tinggi,1,Laboratory Technician,Tinggi,Single,1904,13556,1,Y,No,12,Sangat Baik,Sangat Tinggi,80,0,0,0,Tinggi,0,0,0,0
111,27,0.0,Travel_Rarely,894,Research & Development,9,Sarjana,Medical,1,Sangat Tinggi,Female,99,Tinggi,1,Research Scientist,Sedang,Single,2279,11781,1,Y,No,16,Sangat Baik,Sangat Tinggi,80,0,7,2,Sedang,7,7,0,3
112,22,0.0,Travel_Rarely,1230,Research & Development,1,Perguruan tinggi,Life Sciences,1,Sangat Tinggi,Male,33,Sedang,2,Manufacturing Director,Sangat Tinggi,Married,4775,19146,6,Y,No,22,Luar Biasa,Rendah,80,2,4,2,Rendah,2,2,2,2
113,33,1.0,Travel_Rarely,813,Research & Development,14,Sarjana,Medical,1,Tinggi,Male,58,Tinggi,1,Laboratory Technician,Sangat Tinggi,Married,2436,22149,5,Y,Yes,13,Sangat Baik,Tinggi,80,1,8,2,Rendah,5,4,0,4
114,42,0.0,Travel_Frequently,1368,Research & Development,28,Magister,Technical Degree,1,Sangat Tinggi,Female,88,Sedang,2,Healthcare Representative,Sangat Tinggi,Married,4523,4386,0,Y,No,11,Sangat Baik,Sangat Tinggi,80,3,7,4,Sangat Tinggi,6,5,0,4
115,29,0.0,Travel_Frequently,806,Research & Development,1,Magister,Life Sciences,1,Sedang,Male,76,Rendah,1,Research Scientist,Sangat Tinggi,Divorced,2720,18959,1,Y,No,18,Sangat Baik,Sangat Tinggi,80,1,10,5,Tinggi,10,7,2,8
117,35,0.0,Travel_Rarely,817,Research & Development,1,Sarjana,Medical,1,Sangat Tinggi,Female,60,Sedang,2,Laboratory Technician,Sangat Tinggi,Married,5363,10846,0,Y,No,12,Sangat Baik,Sedang,80,1,10,0,Tinggi,9,7,0,0
119,37,0.0,Non-Travel,142,Sales,9,Magister,Medical,1,Rendah,Male,69,Tinggi,3,Sales Executive,Sedang,Divorced,8834,24666,1,Y,No,13,Sangat Baik,Sangat Tinggi,80,1,9,6,Tinggi,9,5,7,7
121,52,1.0,Travel_Rarely,266,Sales,2,Di bawah perguruan tinggi,Marketing,1,Rendah,Female,57,Rendah,5,Manager,Sangat Tinggi,Married,19845,25846,1,Y,No,15,Sangat Baik,Sangat Tinggi,80,1,33,3,Tinggi,32,14,6,9
122,31,0.0,Travel_Rarely,218,Sales,7,Sarjana,Technical Degree,1,Sedang,Male,100,Sangat Tinggi,2,Sales Executive,Sangat Tinggi,Married,6929,12241,4,Y,No,11,Sangat Baik,Sedang,80,1,10,3,Sedang,8,7,7,7
123,29,0.0,Travel_Rarely,1396,Sales,10,Sarjana,Life Sciences,1,Tinggi,Male,99,Tinggi,1,Sales Representative,Tinggi,Single,2642,2755,1,Y,No,11,Sangat Baik,Tinggi,80,0,1,6,Tinggi,1,0,0,0
126,32,1.0,Non-Travel,1474,Sales,11,Magister,Other,1,Sangat Tinggi,Male,60,Sangat Tinggi,2,Sales Executive,Tinggi,Married,4707,23914,8,Y,No,12,Sangat Baik,Sangat Tinggi,80,0,6,2,Tinggi,4,2,1,2
127,35,0.0,Non-Travel,1097,Research & Development,11,Perguruan tinggi,Medical,1,Tinggi,Male,79,Sedang,3,Healthcare Representative,Rendah,Married,9884,8302,2,Y,Yes,13,Sangat Baik,Tinggi,80,1,10,3,Tinggi,4,0,2,3
128,43,0.0,Travel_Rarely,920,Research & Development,3,Sarjana,Life Sciences,1,Tinggi,Male,96,Rendah,5,Research Director,Sangat Tinggi,Married,19740,18625,3,Y,No,14,Sangat Baik,Sedang,80,1,25,2,Tinggi,8,7,0,7
129,33,0.0,Travel_Rarely,134,Research & Development,2,Sarjana,Life Sciences,1,Tinggi,Male,90,Tinggi,1,Research Scientist,Sangat Tinggi,Single,2500,10515,0,Y,No,14,Sangat Baik,Rendah,80,0,4,2,Sangat Tinggi,3,1,0,2
133,37,0.0,Travel_Rarely,309,Sales,10,Magister,Life Sciences,1,Sangat Tinggi,Female,88,Sedang,2,Sales Executive,Sangat Tinggi,Divorced,6694,24223,2,Y,Yes,14,Sangat Baik,Tinggi,80,3,8,5,Tinggi,1,0,0,0
134,27,1.0,Travel_Rarely,135,Research & Development,17,Magister,Life Sciences,1,Sangat Tinggi,Female,51,Tinggi,1,Research Scientist,Tinggi,Single,2394,25681,1,Y,Yes,13,Sangat Baik,Sangat Tinggi,80,0,8,2,Tinggi,8,2,7,7
135,28,0.0,Travel_Rarely,1451,Research & Development,2,Di bawah perguruan tinggi,Life Sciences,1,Rendah,Male,67,Sedang,1,Research Scientist,Sedang,Married,3201,19911,0,Y,No,17,Sangat Baik,Rendah,80,0,6,2,Rendah,5,3,0,4
136,27,0.0,Travel_Frequently,294,Research & Development,10,Perguruan tinggi,Life Sciences,1,Sangat Tinggi,Male,32,Tinggi,3,Manufacturing Director,Rendah,Divorced,8793,4809,1,Y,No,21,Luar Biasa,Tinggi,80,2,9,4,Sedang,9,7,1,7
137,37,0.0,Travel_Rarely,342,Sales,16,Magister,Marketing,1,Sangat Tinggi,Male,66,Sedang,2,Sales Executive,Tinggi,Divorced,6334,24558,4,Y,No,19,Sangat Baik,Sangat Tinggi,80,2,9,2,Tinggi,1,0,0,0
138,27,0.0,Travel_Rarely,199,Research & Development,6,Sarjana,Life Sciences,1,Sangat Tinggi,Male,55,Sedang,1,Research Scientist,Tinggi,Married,2539,7950,1,Y,No,13,Sangat Baik,Tinggi,80,1,4,0,Tinggi,4,2,2,2
139,37,0.0,Travel_Frequently,319,Sales,4,Magister,Marketing,1,Rendah,Male,41,Tinggi,1,Sales Representative,Sangat Tinggi,Divorced,2793,2539,4,Y,No,17,Sangat Baik,Tinggi,80,1,13,2,Tinggi,9,8,5,8
140,31,0.0,Travel_Rarely,1062,Research & Development,24,Sarjana,Medical,1,Tinggi,Female,96,Sedang,2,Healthcare Representative,Rendah,Single,6812,17198,1,Y,No,19,Sangat Baik,Sedang,80,0,10,2,Tinggi,10,9,1,8
141,48,0.0,Travel_Rarely,715,Research & Development,1,Sarjana,Life Sciences,1,Sangat Tinggi,Male,76,Sedang,5,Research Director,Sangat Tinggi,Single,18265,8733,6,Y,No,12,Sangat Baik,Tinggi,80,0,25,3,Sangat Tinggi,1,0,0,0
142,36,0.0,Travel_Rarely,676,Research & Development,1,Sarjana,Other,1,Tinggi,Female,35,Tinggi,2,Manufacturing Director,Sedang,Married,5228,23361,0,Y,No,15,Sangat Baik,Rendah,80,1,10,2,Tinggi,9,7,0,5
143,37,0.0,Travel_Rarely,977,Research & Development,1,Sarjana,Life Sciences,1,Sangat Tinggi,Female,56,Sedang,2,Manufacturing Director,Sangat Tinggi,Married,6474,9961,1,Y,No,13,Sangat Baik,Sedang,80,1,14,2,Sedang,14,8,3,11
146,38,0.0,Travel_Rarely,702,Sales,1,Magister,Life Sciences,1,Rendah,Female,59,Sedang,2,Sales Executive,Sangat Tinggi,Single,8686,12930,4,Y,No,22,Luar Biasa,Tinggi,80,0,12,2,Sangat Tinggi,8,3,0,7
147,32,0.0,Travel_Rarely,117,Sales,13,Magister,Life Sciences,1,Sedang,Male,73,Tinggi,2,Sales Executive,Sangat Tinggi,Divorced,4403,9250,2,Y,No,11,Sangat Baik,Tinggi,80,1,8,3,Sedang,5,2,0,3
